,artistsName,artistsPath,artistsId,word,indexId
0,가인,GAIN,1574,ㄱ,2
1,가치,KAACHI,2029,ㄱ,2
2,갓세븐,GOT7,521,ㄱ,2
3,강다니엘,KANGDANIEL,543,ㄱ,2
4,강민경,KANGMINKYUNG,1102,ㄱ,2
5,강승윤,KANGSEUNGYOON,812,ㄱ,2
6,개리,Gary,1170,ㄱ,2
7,거미,GUMMY,1146,ㄱ,2
8,걸스데이,GIRLSDAY,309,ㄱ,2
9,걸카인드,GIRLKIND,1602,ㄱ,2
10,검정치마,TheBlackSkirts,1165,ㄱ,2
11,경리,GYEONGREE,1819,ㄱ,2
12,고스트나인,GHOST9,1632,ㄱ,2
13,골든,Golden,120,ㄱ,2
14,골든차일드,GoldenChild,301,ㄱ,2
15,공민지,Minzy,1336,ㄱ,2
16,공원소녀,GWSN,392,ㄱ,2
17,곽진언,KWAKJINEON,22,ㄱ,2
18,구구단,gugudan,317,ㄱ,2
19,국카스텐,Guckkasten,1686,ㄱ,2
20,굿데이,GOODDAY,342,ㄱ,2
21,권진아,KwonJinAh,21,ㄱ,2
22,권현빈,VIINI,1559,ㄱ,2
23,규현,KYUHYUN,769,ㄱ,2
24,그레이,GRAY,1514,ㄱ,2
25,그루비룸,GroovyRoom,1431,ㄱ,2
26,기리보이,GIRIBOY,1116,ㄱ,2
27,김나영,KimNaYoung,20,ㄱ,2
28,김남주,KimNamJoo,715,ㄱ,2
29,김동률,KIMDONGRYUL,25,ㄱ,2
30,김동완,KIMDONGWAN,988,ㄱ,2
31,김동준,KIMDONGJUN,1524,ㄱ,2
32,김동한,KIMDONGHAN,542,ㄱ,2
33,김민석,KimMinSeok,390,ㄱ,2
34,김범수,KIMBUMSOO,1198,ㄱ,2
35,김성규,KIMSUNGKYU,732,ㄱ,2
36,김세정,KIMSEJEONG,861,ㄱ,2
37,김영철,KimYoungChul,1551,ㄱ,2
38,김요한,KIMYOHAN,1417,ㄱ,2
39,김용국,JINLONGUO,1560,ㄱ,2
40,김우석,KIMWOOSEOK,1745,ㄱ,2
41,김우진,KIMWOOJIN,1019,ㄱ,2
42,김윤아,KimYuna,1829,ㄱ,2
43,김재중,KimJaeJoong,1746,ㄱ,2
44,김재환,KIMJAEHWAN,541,ㄱ,2
45,김지수,KimJiSoo,1776,ㄱ,2
46,김진우,JINU,809,ㄱ,2
47,김진호,JinHoKim,1182,ㄱ,2
48,김태우,KimTaeWoo,1017,ㄱ,2
49,김필,KimFeel,1590,ㄱ,2
50,김하온,HAON,1174,ㄱ,2
51,김현중,KIMHYUNJOONG,1554,ㄱ,2
52,김호중,KIMHOJOONG,1963,ㄱ,2
53,김희재,KimHeeJae,1886,ㄱ,2
54,김희철,KIMHEECHUL,762,ㄱ,2
55,이은상,leeeunsang,1422,ㄱ,2
56,나다,NADA,1943,ㄴ,3
57,나띠,NATTY,1887,ㄴ,3
58,나르샤,Narsha,1573,ㄴ,3
59,나얼,Naul,1148,ㄴ,3
60,나플라,nafla,1209,ㄴ,3
61,남우현,NAMWOOHYUN,734,ㄴ,3
62,남태현,NamTaehyun,1628,ㄴ,3
63,넉살,Nucksal,1666,ㄴ,3
64,네이처,NATURE,563,ㄴ,3
65,넬,NELL,295,ㄴ,3
66,노을,NOEL,1207,ㄴ,3
67,뉴이스트,NUEST,284,ㄴ,3
68,뉴키드,NewKidd,1553,ㄴ,3
69,느와르,NOIR,1614,ㄴ,3
70,니엘,NIEL,772,ㄴ,3
71,닉쿤,NICHKHUN,756,ㄴ,3
72,다비치,DAVICHI,323,ㄷ,4
73,다이나믹 듀오,Dynamicduo,1124,ㄷ,4
74,다이아,DIA,325,ㄷ,4
75,다크비,DKB,1807,ㄷ,4
76,달샤벳,Dalshabet,334,ㄷ,4
77,달수빈,DALSOOOBIN,950,ㄷ,4
78,더 로즈,TheRose,1457,ㄷ,4
79,더 콰이엇,TheQuiett,1175,ㄷ,4
80,더보이즈,THEBOYZ,371,ㄷ,4
81,던,DAWN,1691,ㄷ,4
82,데이브레이크,DAYBREAK,1706,ㄷ,4
83,데이식스,DAY6,87,ㄷ,4
84,도끼,Dok2,1130,ㄷ,4
85,동방신기,TVXQ,275,ㄷ,4
86,동키즈,DONGKIZ,1612,ㄷ,4
87,드리핀,DRIPPIN,2011,ㄷ,4
88,드림노트,DreamNote,553,ㄷ,4
89,드림캐쳐,Dreamcatcher,335,ㄷ,4
90,디에잇,the8,634,ㄷ,4
91,디오,DO,398,ㄷ,4
92,디원스,D1CE,1489,ㄷ,4
93,디크런치,D-CRUNCH,1615,ㄷ,4
94,디피알 라이브,DPRLIVE,1154,ㄷ,4
95,디피알 이안,DPRIAN,2024,ㄷ,4
96,딘,DEAN,1089,ㄷ,4
97,딘딘,DinDin,1689,ㄷ,4
98,딥플로우,Deepflow,144,ㄷ,4
99,라붐,LABOUM,328,ㄹ,5
100,라비,RAVI,976,ㄹ,5
101,라이관린,LAIKUANLIN,626,ㄹ,5
102,라잇썸,LIGHTSUM,2124,ㄹ,5
103,러블리즈,Lovelyz,312,ㄹ,5
104,레드벨벳,RedVelvet,316,ㄹ,5
105,레드스퀘어,REDSQUARE,1902,ㄹ,5
106,레디,Reddy,1405,ㄹ,5
107,레오,LEO,974,ㄹ,5
108,레이,LAY,403,ㄹ,5
109,레이나,Raina,1528,ㄹ,5
110,레이디스 코드,LADIESCODE,333,ㄹ,5
111,려욱,RYEOWOOK,768,ㄹ,5
112,로꼬,Loco,1094,ㄹ,5
113,로시,Rothy,1657,ㄹ,5
114,로이킴,RoyKim,1126,ㄹ,5
115,로제,ROSE,684,ㄹ,5
116,로켓펀치,RocketPunch,1426,ㄹ,5
117,루나,LUNA,1470,ㄹ,5
118,루나솔라,LUNARSOLAR,2006,ㄹ,5
119,루시,LUCY,2037,ㄹ,5
120,루시드폴,LucidFall,1731,ㄹ,5
121,류수정,RYUSUJEONG,837,ㄹ,5
122,리쌍,Leessang,1172,ㄹ,5
123,린,LYn,1176,ㄹ,5
124,릴러말즈,Leellamarz,1793,ㄹ,5
125,마마무,MAMAMOO,307,ㅁ,6
126,마이네임,MYNAME,300,ㅁ,6
127,마이틴,MYTEEN,1445,ㅁ,6
128,마크,Mark,515,ㅁ,6
129,마크툽,MAKTUB,1737,ㅁ,6
130,매드클라운,MadClown,1136,ㅁ,6
131,먼데이 키즈,MondayKiz,29,ㅁ,6
132,멋진녀석들,GreatGuys,1664,ㅁ,6
133,멜로망스,Melomance,1134,ㅁ,6
134,모모랜드,MOMOLAND,332,ㅁ,6
135,몬스타엑스,MONSTAX,363,ㅁ,6
136,문별,MOONBYUL,822,ㅁ,6
137,문종업,MoonJongUp,1888,ㅁ,6
138,미래소년,MIRAE,2095,ㅁ,6
139,미료,MIRYO,1572,ㅁ,6
140,미쓰에이,MISSA,320,ㅁ,6
141,미유,Miyu,1674,ㅁ,6
142,민경훈,MinKyunghun,1141,ㅁ,6
143,민서,MINSEO,654,ㅁ,6
144,민현,MINHYUN,753,ㅁ,6
145,바다,BADA,1673,ㅂ,7
146,바비,BOBBY,981,ㅂ,7
147,바이브,Vibe,1190,ㅂ,7
148,박경,KyungPark,747,ㅂ,7
149,박보람,ParkBoRam,1461,ㅂ,7
150,박봄,ParkBom,1318,ㅂ,7
151,박새별,ParkSaebyul,1816,ㅂ,7
152,박원,PARKWON,1173,ㅂ,7
153,박재범,JayPark,1117,ㅂ,7
154,박재정,JaeJungParc,1720,ㅂ,7
155,박정현,LenaPark,1211,ㅂ,7
156,박지민,JiminPark,1549,ㅂ,7
157,박지윤,parkjiyoon,236,ㅂ,7
158,박지훈,PARKJIHOON,512,ㅂ,7
159,박진영,J.Y.Park,1529,ㅂ,7
160,박효신,ParkHyoShin,1080,ㅂ,7
161,방용국,BANGYONGGUK,1482,ㅂ,7
162,방탄소년단,BTS,273,ㅂ,7
163,백아연,BaekAYeon,1588,ㅂ,7
164,백예린,YERINBAEK,1121,ㅂ,7
165,백지영,BaekZYoung,1654,ㅂ,7
166,백퍼센트,100percent,299,ㅂ,7
167,백현,BAEKHYUN,399,ㅂ,7
168,밴디트,BVNDIT,1479,ㅂ,7
169,뱀뱀,BamBam,518,ㅂ,7
170,버벌진트,VerbalJint,1792,ㅂ,7
171,버스터즈,Busters,569,ㅂ,7
172,버즈,Buzz,1144,ㅂ,7
173,범주,BUMZU,1622,ㅂ,7
174,범키,BUMKEY,1218,ㅂ,7
175,베리굿,BerryGood,337,ㅂ,7
176,베리베리,VERIVERY,1281,ㅂ,7
177,베이빌론,Babylon,51,ㅂ,7
178,벤,Ben,1131,ㅂ,7
179,별,BYUL,1747,ㅂ,7
180,보너스베이비,Bonusbaby,344,ㅂ,7
181,보아,BoA,1452,ㅂ,7
182,보이프렌드,BOYFRIEND,297,ㅂ,7
183,볼빨간사춘기,BOL4,1083,ㅂ,7
184,뷔,V,409,ㅂ,7
185,브라더수,BrotherSu,16,ㅂ,7
186,브라운 아이드 소울,BrownEyedSoul,1169,ㅂ,7
187,브라운아이드걸스,BrownEyedGirls,1569,ㅂ,7
188,브레이브걸스,BraveGirls,1994,ㅂ,7
189,브린,Bryn,1716,ㅂ,7
190,브이에이브이,VAV,1327,ㅂ,7
191,블락비,BlockB,283,ㅂ,7
192,블랙식스,BLACK6IX,1671,ㅂ,7
193,블랙핑크,BLACKPINK,326,ㅂ,7
194,블루,BLOO,1500,ㅂ,7
195,블리처스,BLITZERS,2170,ㅂ,7
196,블링블링,Blingbling,2050,ㅂ,7
197,비,Rain,1505,ㅂ,7
198,비디씨,BDC,1684,ㅂ,7
199,비비,BIBI,1966,ㅂ,7
200,비스트,BEAST,276,ㅂ,7
201,비아이,B.I,982,ㅂ,7
202,비에이이173,BAE173,2028,ㅂ,7
203,비에이피,B.A.P,372,ㅂ,7
204,비오브유,B.O.Y,1698,ㅂ,7
205,비와이,BewhY,1127,ㅂ,7
206,비원에이포,B1A4,282,ㅂ,7
207,비투비,BTOB,31,ㅂ,7
208,빅뱅,BIGBANG,277,ㅂ,7
209,빅스,VIXX,367,ㅂ,7
210,빅스타,BIGSTAR,304,ㅂ,7
211,빅원,BIGONE,1667,ㅂ,7
212,빅톤,VICTON,383,ㅂ,7
213,빈지노,Beenzino,1093,ㅂ,7
214,빈첸,VINXEN,1150,ㅂ,7
215,사무엘,Samuel,374,ㅅ,8
216,사이먼 도미닉,SimonDominic,1515,ㅅ,8
217,산다라박,SandaraPark,1335,ㅅ,8
218,산들,Sandeul,740,ㅅ,8
219,산이,SanE,200,ㅅ,8
220,새소년,SESONEON,64,ㅅ,8
221,샘김,SAMKIM,1212,ㅅ,8
222,샤이니,SHINee,288,ㅅ,8
223,서동현,BIGNaughty,1732,ㅅ,8
224,서리,Seori,2161,ㅅ,8
225,서은광,SEOEUNKWANG,717,ㅅ,8
226,서현,SEOHYUN,820,ㅅ,8
227,선미,SUNMI,1184,ㅅ,8
228,선우정아,SunwooJungA,206,ㅅ,8
229,설리,SULLI,1358,ㅅ,8
230,성시경,SUNGSIKYUNG,1103,ㅅ,8
231,세러데이,SATURDAY,1633,ㅅ,8
232,세븐어클락,SevenO'Clock,1697,ㅅ,8
233,세븐틴,SEVENTEEN,640,ㅅ,8
234,세훈&찬열,EXO-SC,1427,ㅅ,8
235,소나무,SONAMOO,331,ㅅ,8
236,소녀시대,SNSD,305,ㅅ,8
237,소유,SOYOU,15,ㅅ,8
238,소정,Sojung,943,ㅅ,8
239,손동운,SONDONGWOON,1067,ㅅ,8
240,손호영,SHY,1016,ㅅ,8
241,솔라,SOLAR,821,ㅅ,8
242,솔비,Solbi,1699,ㅅ,8
243,솔지,SOLJI,852,ㅅ,8
244,송가인,SongGain,1688,ㅅ,8
245,송민호,MINO,811,ㅅ,8
246,송유빈,SONGYUVIN,1443,ㅅ,8
247,송지은,SongJiEun,1795,ㅅ,8
248,숀,SHAUN,1563,ㅅ,8
249,수란,SURAN,1187,ㅅ,8
250,수지,SUZY,1340,ㅅ,8
251,수퍼비,SUPERBEE,1208,ㅅ,8
252,수호,SUHO,395,ㅅ,8
253,술제이,SoolJ,1621,ㅅ,8
254,슈퍼엠,SuperM,1550,ㅅ,8
255,슈퍼주니어,SUPERJUNIOR,286,ㅅ,8
256,스누퍼,SNUPER,382,ㅅ,8
257,스웨덴세탁소,swedenlaundry,1179,ㅅ,8
258,스윙스,Swings,1396,ㅅ,8
259,스탠딩 에그,StandingEgg,1271,ㅅ,8
260,스테이씨,STAYC,2031,ㅅ,8
261,스텔라장,StellaJang,71,ㅅ,8
262,스트레이 키즈,StrayKids,377,ㅅ,8
263,스펙트럼,SPECTRUM,1613,ㅅ,8
264,슬리피,SLEEPY,1715,ㅅ,8
265,슬옹,SEULONG,1820,ㅅ,8
266,시그니처,cignature,1815,ㅅ,8
267,시크릿,SECRET,319,ㅅ,8
268,시크릿넘버,SECRETNUMBER,1901,ㅅ,8
269,식케이,Sik-K,1191,ㅅ,8
270,신용재,ShinYongJae,1152,ㅅ,8
271,신원호,ShinWonHo,1831,ㅅ,8
272,신혜성,SHINHYESUNG,989,ㅅ,8
273,신화,Shinhwa,370,ㅅ,8
274,십센치,10cm,389,ㅅ,8
275,싸이,PSY,1186,ㅅ,8
276,싸이퍼,Ciipher,2110,ㅅ,8
277,써니힐,SunnyHill,1670,ㅅ,8
278,써드아이,3YE,1945,ㅅ,8
279,쎄이,SAAY,472,ㅅ,8
280,씨스타,SISTAR,1503,ㅅ,8
281,씨아이엑스,CIX,1317,ㅅ,8
282,씨엔블루,CNBLUE,292,ㅅ,8
283,씨엘,CL,1334,ㅅ,8
284,씨엘씨,CLC,329,ㅅ,8
285,씨잼,CJAMM,1655,ㅅ,8
286,(여자)아이들,(G)I-DLE,361,ㅇ,9
287,아도이,ADOY,68,ㅇ,9
288,아뽀키,APOKI,2173,ㅇ,9
289,아스트로,ASTRO,289,ㅇ,9
290,아이엠,I.M,685,ㅇ,9
291,아이원,IONE,1618,ㅇ,9
292,아이유,IU,385,ㅇ,9
293,아이즈,IZ,1451,ㅇ,9
294,아이즈원,IZ*ONE,394,ㅇ,9
295,아이콘,iKON,368,ㅇ,9
296,악뮤,AKMU,1088,ㅇ,9
297,안예은,YeeunAhn,476,ㅇ,9
298,알렉사,AleXa,1971,ㅇ,9
299,알엠,RM,404,ㅇ,9
300,애쉬 아일랜드,ASHISLAND,1700,ㅇ,9
301,앤디,ANDY,991,ㅇ,9
302,양다일,YangDaIl,483,ㅇ,9
303,양요섭,YANGYOSEOP,30,ㅇ,9
304,양지은,YangJieun,2137,ㅇ,9
305,양홍원,YoungB,1395,ㅇ,9
306,어거스트 디,AgustD,1626,ㅇ,9
307,어글리 덕,UglyDuck,1527,ㅇ,9
308,어반 자카파,UrbanZakapa,1115,ㅇ,9
309,어위크,AWEEK,1933,ㅇ,9
310,언에듀케이티드 키드,UNEDUCATEDKID,1830,ㅇ,9
311,업텐션,UP10TION,366,ㅇ,9
312,에디킴,EddyKim,1435,ㅇ,9
313,에릭남,EricNam,13,ㅇ,9
314,에버글로우,EVERGLOW,680,ㅇ,9
315,에스아이에스,S.I.S,341,ㅇ,9
316,에스에프나인,SF9,375,ㅇ,9
317,에스지 워너비,SGWANNABE,1183,ㅇ,9
318,에스파,aespa,2023,ㅇ,9
319,에이비식스,AB6IX,1269,ㅇ,9
320,에이스,A.C.E,384,ㅇ,9
321,에이오에이,AOA,313,ㅇ,9
322,에이티즈,ATEEZ,393,ㅇ,9
323,에이프릴,APRIL,322,ㅇ,9
324,에이핑크,Apink,306,ㅇ,9
