,list,likes
0,"['1', '신호등', '이무진']",191012
1,"['2', 'STAY', 'The Kid LAROI']",93301
2,"['3', '바라만 본다', 'MSG워너비(M.O.M)']",195449
3,"['4', 'Next Level', 'aespa']",73817
4,"['5', 'Permission to Dance', '방탄소년단']",148223
5,"['6', '낙하 (with 아이유)', 'AKMU (악뮤)']",104963
6,"['7', 'Weekend', '태연 (TAEYEON)']",165240
7,"['8', 'Queendom', 'Red Velvet (레드벨벳)']",123061
8,"['9', 'Butter', '방탄소년단']",108634
9,"['10', 'OHAYO MY NIGHT', '디핵 (D-Hack)']",54062
10,"['11', 'DUMB DUMB', '전소미']",238996
11,"['12', '좋아좋아', '조정석']",59431
12,"['13', '헤픈 우연', '헤이즈 (Heize)']",145685
13,"['14', 'Peaches (Feat. Daniel Caesar & Giveon)', 'Justin Bieber']",193074
14,"['15', 'Dynamite', '방탄소년단']",54633
15,"['16', '이제 나만 믿어요', '임영웅']",421658
16,"['17', '비와 당신', '이무진']",10644
17,"['18', 'Bad Habits', 'Ed Sheeran']",134306
18,"['19', 'Dun Dun Dance', '오마이걸 (OH MY GIRL)']",78498
19,"['20', ""롤린 (Rollin')"", '브레이브걸스']",139384
20,"['21', '고백', '멜로망스']",287031
21,"['22', '라일락', '아이유']",42178
22,"['23', '비가 오는 날엔 (2021)', '헤이즈 (Heize)']",36536
23,"['24', '다정히 내 이름을 부르면', '경서예지']",213205
24,"['25', 'Celebrity', '아이유']",297287
25,"['26', '치맛바람 (Chi Mat Ba Ram)', '브레이브걸스']",60658
26,"['27', '별빛 같은 나의 사랑아', '임영웅']",91296
27,"['28', '하루만 더', '빅마마']",73066
28,"['29', 'Alcohol-Free', 'TWICE (트와이스)']",121123
29,"['30', 'HERO', '임영웅']",106935
30,"['31', '안녕 (Hello)', '조이 (JOY)']",105538
31,"['32', '그대라는 사치', '임영웅']",61090
32,"['33', '다시 사랑한다면 (김필 Ver.)', '임영웅']",43347
33,"['34', '여전히 아름다운지', '세븐틴']",21999
34,"['35', 'ASAP', 'STAYC(스테이씨)']",26683
35,"['36', 'Savage Love (Laxed - Siren Beat) (BTS Remix)', 'Jawsh 685']",38323
36,"['37', '끝사랑', '임영웅']",184158
37,"['38', 'Bk Love', '임영웅']",22542
38,"['39', '사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)', '호미들']",22858
39,"['40', '작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)', '방탄소년단']",427953
40,"['41', '나를 아는 사람', 'MSG워너비(정상동기)']",128548
41,"['42', '잊었니', '임영웅']",21474
42,"['43', '가을 우체국 앞에서', '김대명']",37270
43,"['44', '운전만해 (We Ride)', '브레이브걸스']",92438
44,"['45', '내 손을 잡아', '아이유']",165917
45,"['46', '봄날', '방탄소년단']",547252
46,"['47', '밝게 빛나는 별이 되어 비춰줄게', '송이한']",68353
47,"['48', '미워요', '임영웅']",104850
48,"['49', '사랑의 아픔 딛고', '임영웅']",122175
49,"['50', '상상더하기', '라붐 (LABOUM)']",47955
50,"['51', '계단말고 엘리베이터', '임영웅']",199654
51,"['52', 'Timeless', 'SG 워너비']",69875
52,"['53', 'Life Goes On', '방탄소년단']",224951
53,"['54', '멜로디', 'ASH ISLAND']",102032
54,"['55', '밤하늘의 별을(2020)', '경서']",161957
55,"['56', 'Off My Face', 'Justin Bieber']",51344
56,"['57', 'Lovesick Girls', 'BLACKPINK']",15947
57,"['58', '어떻게 이별까지 사랑하겠어, 널 사랑하는 거지', 'AKMU (악뮤)']",57351
58,"['59', '아로하', '조정석']",359123
59,"['60', '비 오는 날 듣기 좋은 노래 (Feat. Colde)', '에픽하이 (EPIK HIGH)']",11545
60,"['61', '추억은 만남보다 이별에 남아', '정동하']",54890
61,"['62', '목로주점', '임영웅']",226068
62,"['63', '상상더하기', 'MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)']",97512
63,"['64', '이젠 잊기로 해요 (Drama Ver.)', '미도와 파라솔']",11484
64,"['65', '어푸 (Ah puh)', '아이유']",316001
65,"['66', '잠이 오질 않네요', '장범준']",18696
66,"['67', '담아 갈게', '이무진']",25266
67,"['68', 'Blueming', '아이유']",146440
68,"['69', '고백', '10CM']",61726
69,"['70', 'Dolphin', '오마이걸 (OH MY GIRL)']",61786
70,"['71', '에잇(Prod.&Feat. SUGA of BTS)', '아이유']",190296
71,"['72', '가까운 듯 먼 그대여', '카더가든']",21178
72,"['73', '슈퍼스타', '미도와 파라솔']",365604
73,"['74', '2002', 'Anne-Marie']",198577
74,"['75', '취기를 빌려 (취향저격 그녀 X 산들)', '산들']",367411
75,"['76', 'Outsider', '비투비']",32720
76,"['77', '회상', '정경호']",268762
77,"['78', '그날에 나는 맘이 편했을까', '이예준']",374136
78,"['79', '모든 날, 모든 순간 (Every day, Every Moment)', '폴킴']",12824
79,"['80', 'Hate that... (Feat. 태연)', '키 (KEY)']",147524
80,"['81', 'LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)', '양요섭']",99949
81,"['82', '12:45 (Stripped)', 'Etham']",31544
82,"['83', '라라라', 'SG 워너비']",86031
83,"['84', '사진을 보다가', '다비치']",292149
84,"['85', '흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야', '장범준']",14809
85,"['86', '고백', '장범준']",189221
86,"['87', 'METEOR', '창모 (CHANGMO)']",84404
87,"['88', '오래된 노래', '스탠딩 에그']",23125
88,"['89', '너의 번호를 누르고 (Prod. 영화처럼)', '#안녕']",13330
89,"['90', '나랑 같이 걸을래 (바른연애 길잡이 X 적재)', '적재']",233554
90,"['91', '허리춤', '오반 (OVAN)']",111362
91,"['92', '넌 좋은 사람', 'SG 워너비']",166292
92,"['93', '오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)', '마크툽 (MAKTUB)']",243712
93,"['94', 'Memories', 'Maroon 5']",81057
94,"['95', '어떻게 지내 (Prod. By VAN.C)', '오반 (OVAN)']",8978
95,"['96', 'VVS (Feat. JUSTHIS) (Prod. GroovyRoom)', '미란이 (Mirani)']",102179
96,"['97', 'Coin', '아이유']",174866
97,"['98', '사실 나는 (Feat.전건호)', '경서예지']",11247
98,"['99', 'ONLY', '이하이']",139276
99,"['100', '나는 너 좋아', '장범준']",29769
